state,county,tract,block group,NAME,B01001_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
53,033,010100,2,"Block Group 2, Census Tract 101, King County, Washington",1139,0,19,2,0,0,2,0,30,0,0,0,4
53,033,010100,1,"Block Group 1, Census Tract 101, King County, Washington",1147,18,17,47,8,0,0,24,16,39,27,76,0
53,033,022003,3,"Block Group 3, Census Tract 220.03, King County, Washington",951,8,8,41,7,0,0,0,22,51,0,19,10
53,033,022003,5,"Block Group 5, Census Tract 220.03, King County, Washington",1101,0,20,0,0,0,0,8,24,0,0,0,0
53,033,022300,1,"Block Group 1, Census Tract 223, King County, Washington",1400,50,28,35,28,18,10,19,29,23,75,0,0
53,033,022300,2,"Block Group 2, Census Tract 223, King County, Washington",1269,9,28,9,9,8,16,18,20,54,0,9,0
53,033,022604,1,"Block Group 1, Census Tract 226.04, King County, Washington",1931,13,18,45,9,8,0,16,42,9,8,15,0
53,033,022604,3,"Block Group 3, Census Tract 226.04, King County, Washington",1909,20,32,15,23,8,8,0,25,0,23,28,20
53,033,022702,1,"Block Group 1, Census Tract 227.02, King County, Washington",1290,24,15,48,27,2,0,31,10,49,49,0,1
53,033,022702,3,"Block Group 3, Census Tract 227.02, King County, Washington",1256,34,33,24,29,0,0,12,19,46,0,9,0
53,033,022801,1,"Block Group 1, Census Tract 228.01, King County, Washington",2497,0,30,1,0,0,0,15,0,27,0,31,0
53,033,022801,3,"Block Group 3, Census Tract 228.01, King County, Washington",1235,12,0,28,60,23,14,48,0,53,22,48,0
53,033,022803,2,"Block Group 2, Census Tract 228.03, King County, Washington",2728,22,37,48,0,56,19,67,0,54,46,26,16
53,033,005802,1,"Block Group 1, Census Tract 58.02, King County, Washington",1604,0,22,36,0,36,0,14,0,49,19,19,0
53,033,006200,3,"Block Group 3, Census Tract 62, King County, Washington",972,8,23,37,27,0,9,23,31,26,18,0,0
53,033,006200,2,"Block Group 2, Census Tract 62, King County, Washington",1876,29,47,37,8,8,0,14,25,106,33,16,0
53,033,006200,1,"Block Group 1, Census Tract 62, King County, Washington",1688,7,19,52,18,10,0,7,28,16,0,8,0
53,033,007300,1,"Block Group 1, Census Tract 73, King County, Washington",3690,0,25,73,0,0,22,0,22,23,0,17,20
